Province,Lat,Long,Code,X,Y
Yala,6.33,101.25,1,2,4.5
Narathiwat,6.33,101.75,2,2,5.5
Satun,6.83,100,3,3,3
Songkhla,6.83,100.66,4,3,4
Pattani,6.77,101.35,5,3,5
Trang,7.5,99.5,6,4,3.5
Phattalung,7.5,100.08,7,4,4.5
Phuket,7.99,98.34,8,5,1.5
Krabi,8.25,99.16,9,5,3
Nakhon Si Thammarat,8.25,100,10,5,4
Phangnga,8.63,98.38,11,6,2.5
Surat Thani,9.16,99.25,12,6,3.5
Ranong,10.38,99.08,13,7,3
Chumphon,10.11,98.75,14,7,4
Prachuap Khiri Khan,12.21,99.75,15,8,3.5
Phetchaburi,12.96,99.58,16,9,4
Ratchaburi,13.58,99.53,17,10,3.5
Samut Songkhram,13.4,99.95,18,10,4.5
Samut Sakhon,13.57,100.2,19,10,5.5
Samut Prakan,13.6,100.7,20,10,6.5
Chachoengsao,13.61,101.41,21,10,7.5
Chon Buri,13.3,101.3,22,9,6
Rayong,12.83,101.43,23,9,7
Chanthaburi,12.83,102.16,24,9,8
Trat,12.5,102.5,25,8,8.5
Nakhon Pathom,13.98,100.08,26,11,3
Nonthaburi,13.91,100.39,27,11,4
Bangkok,13.79,100.62,28,11,5
Phra Nakhon Si Ayutthaya,14.28,100.5,29,11,6
Pathum Thani,14.04,100.68,30,11,7
Saraburi,14.6,100.96,31,11,8
Nakhon Nayok,14.16,101.1,32,11,9
Prachin Buri,14.08,101.66,33,11,10
Sa Kaeo,13.75,102.33,34,11,11
Kanchanaburi,14.63,99.1,35,12,2.5
Suphan Buri,14.46,100.06,36,12,3.5
Ang Thong,14.61,100.36,37,12,4.5
Nakhon Ratchasima,15,102.16,38,12,5.5
Buri Ram,14.84,102.99,39,12,6.5
Surin,14.83,103.75,40,12,7.5
Si Sa Ket,14.83,104.33,41,12,8.5
Yasothon,15.93,104.32,42,12,9.5
Ubon Ratchathani,15.16,105.16,43,12,10.5
Chai Nat,15.11,100.1,44,13,3
Lop Buri,14.93,100.75,45,13,4
Sing Buri,14.85,100.23,46,13,5
Chaiyaphum,15.75,102,47,13,6
Maha Sarakham,16.08,103.15,48,13,7
Roi Et,15.75,103.75,49,13,8
Kalasin,16.5,103.5,50,13,9
Mukdahan,16.58,104.5,51,13,10
Amnat Charoen,15.91,104.75,52,13,11
Uthai Thani,15.38,99.55,53,14,2.5
Nakhon Sawan,15.7,100.08,54,14,3.5
Phichit,16.25,100.41,55,14,4.5
Phetchabun,16.25,101.08,56,14,5.5
Loei,17.41,101.5,57,14,6.5
Nong Bua Lam Phu,17.25,102.25,58,14,7.5
Khon Kaen,16.5,102.08,59,14,8.5
Sakon Nakhon,17.33,103.83,60,14,9.5
Nakhon Phanom,17.4,104.55,61,14,10.5
Tak,16.58,98.83,62,15,2
Sukhothai,17.25,99.66,63,15,3
Kamphaeng Phet,16.25,99.5,64,15,4
Phitsanulok,16.91,100.5,65,15,5
Udon Thani,17.33,102.83,66,15,8
Nong Khai,17.98,103.18,67,15,9
Lamphun,18.25,98.91,69,16,1.5
Lampang,18.33,99.5,70,16,2.5
Phrae,18.08,100,71,16,3.5
Uttaradit,17.66,100.5,72,16,4.5
Nan,18.83,100.66,73,16,5.5
Mae Hong Son,18.75,97.91,74,17,2
Chiang Mai,18.75,99,75,17,3
Chiang Rai,19.91,99.91,76,17,4
Phayao,19.25,100.25,77,17,5
Bueng Kan,18.031,103.711,68,15,10
